 # psi,   q values
 -0.4841140E-03  0.1054490E+01
 -0.4756152E-03  0.1189821E+01
 -0.4671164E-03  0.1241314E+01
 -0.4586176E-03  0.1288082E+01
 -0.4501187E-03  0.1332344E+01
 -0.4416199E-03  0.1395835E+01
 -0.4331211E-03  0.1450728E+01
 -0.4246223E-03  0.1519810E+01
 -0.4161234E-03  0.1587241E+01
 -0.4076246E-03  0.1665809E+01
 -0.3991258E-03  0.1750469E+01
 -0.3906270E-03  0.1840272E+01
 -0.3821281E-03  0.1944206E+01
 -0.3736293E-03  0.2054672E+01
 -0.3651305E-03  0.2175559E+01
 -0.3566317E-03  0.2322096E+01
 -0.3481328E-03  0.2466644E+01
 -0.3396340E-03  0.2656003E+01
 -0.3311352E-03  0.2849634E+01
 -0.3226364E-03  0.3090086E+01
 -0.3141375E-03  0.3367677E+01
 -0.3056387E-03  0.3695046E+01
 -0.2971399E-03  0.4121444E+01
 -0.2886411E-03  0.4670779E+01
 -0.2801422E-03  0.5455509E+01
