 # LSFC polygon vetices
 # R[m],  Z[m]
  0.4084399E+00 -0.1792984E-16
  0.4076061E+00  0.1531947E-01
  0.4052163E+00  0.3091125E-01
  0.4009322E+00  0.4700124E-01
  0.3943886E+00  0.6379871E-01
  0.3849663E+00  0.8138009E-01
  0.3717475E+00  0.9936324E-01
  0.3538105E+00  0.1167380E+00
  0.3305899E+00  0.1293750E+00
  0.3052623E+00  0.1273304E+00
  0.2848688E+00  0.1103805E+00
  0.2702133E+00  0.9035996E-01
  0.2599499E+00  0.7063997E-01
  0.2529514E+00  0.5187637E-01
  0.2482722E+00  0.3409709E-01
  0.2456294E+00  0.1689970E-01
  0.2448649E+00 -0.7431559E-17
  0.2456294E+00 -0.1689970E-01
  0.2482722E+00 -0.3409709E-01
  0.2529514E+00 -0.5187637E-01
  0.2599499E+00 -0.7063997E-01
  0.2702133E+00 -0.9035996E-01
  0.2848688E+00 -0.1103805E+00
  0.3052623E+00 -0.1273304E+00
  0.3305899E+00 -0.1293750E+00
  0.3538105E+00 -0.1167380E+00
  0.3717475E+00 -0.9936324E-01
  0.3849663E+00 -0.8138009E-01
  0.3943886E+00 -0.6379871E-01
  0.4009322E+00 -0.4700124E-01
  0.4052163E+00 -0.3091125E-01
  0.4076061E+00 -0.1531947E-01
