Dark spectrum
Integration time [ms]: 100.000
Averaging Nr. [scans]: 1
Smoothing Nr. [pixels]: 0
Data measured with spectrometer [name]: 1401079U1
Wave   ;Sample   ;Dark     ;Reference;Scope
[nm]   ;[counts] ;[counts] ;[counts]
 227.94;   -4.000;   -4.000;    0.000
 228.28; -110.000; -110.000;    0.000
 228.63;   46.000;   46.000;    0.000
 228.97;   26.000;   26.000;    0.000
 229.31;  -45.000;  -45.000;    0.000
 229.66;    0.000;    0.000;    0.000
 230.00;   76.000;   76.000;    0.000
 230.34;  -23.000;  -23.000;    0.000
 230.69;  -32.000;  -32.000;    0.000
 231.03; -102.000; -102.000;    0.000
 231.37;   77.000;   77.000;    0.000
 231.71;  -14.000;  -14.000;    0.000
 232.06;  -22.000;  -22.000;    0.000
 232.40;  154.000;  154.000;    0.000
 232.74;  -88.000;  -88.000;    0.000
 233.09;    1.000;    1.000;    0.000
 233.43;  -16.000;  -16.000;    0.000
 233.77; -119.000; -119.000;    0.000
 234.12;   96.000;   96.000;    0.000
 234.46;    4.000;    4.000;    0.000
 234.80;   94.000;   94.000;    0.000
 235.15;  -22.000;  -22.000;    0.000
 235.49;  -98.000;  -98.000;    0.000
 235.83;  -32.000;  -32.000;    0.000
 236.17;  -47.000;  -47.000;    0.000
 236.52; -117.000; -117.000;    0.000
 236.86;   42.000;   42.000;    0.000
 237.20;  -61.000;  -61.000;    0.000
 237.55;   45.000;   45.000;    0.000
 237.89;  -21.000;  -21.000;    0.000
 238.23;  -41.000;  -41.000;    0.000
 238.58;  -45.000;  -45.000;    0.000
 238.92;  -29.000;  -29.000;    0.000
 239.26;  -13.000;  -13.000;    0.000
 239.60;  -37.000;  -37.000;    0.000
 239.95;   18.000;   18.000;    0.000
 240.29;  -63.000;  -63.000;    0.000
 240.63;   18.000;   18.000;    0.000
 240.98;    5.000;    5.000;    0.000
 241.32;   16.000;   16.000;    0.000
 241.66;  -14.000;  -14.000;    0.000
 242.00;   17.000;   17.000;    0.000
 242.35;  -32.000;  -32.000;    0.000
 242.69;   39.000;   39.000;    0.000
 243.03;   37.000;   37.000;    0.000
 243.38;  -37.000;  -37.000;    0.000
 243.72;  -48.000;  -48.000;    0.000
