 # psi,   q values
 -0.4651986E-03  0.1046736E+01
 -0.4563811E-03  0.1182792E+01
 -0.4475636E-03  0.1236730E+01
 -0.4387461E-03  0.1283085E+01
 -0.4299286E-03  0.1324913E+01
 -0.4211111E-03  0.1396249E+01
 -0.4122936E-03  0.1446711E+01
 -0.4034761E-03  0.1521223E+01
 -0.3946586E-03  0.1588908E+01
 -0.3858411E-03  0.1670191E+01
 -0.3770236E-03  0.1757228E+01
 -0.3682061E-03  0.1848867E+01
 -0.3593885E-03  0.1956367E+01
 -0.3505710E-03  0.2069377E+01
 -0.3417535E-03  0.2193807E+01
 -0.3329360E-03  0.2341963E+01
 -0.3241185E-03  0.2494822E+01
 -0.3153010E-03  0.2679173E+01
 -0.3064835E-03  0.2879907E+01
 -0.2976660E-03  0.3122346E+01
 -0.2888485E-03  0.3387902E+01
 -0.2800310E-03  0.3710521E+01
 -0.2712135E-03  0.4110726E+01
 -0.2623959E-03  0.4589068E+01
 -0.2535784E-03  0.5219553E+01
