 # LSFC polygon vetices
 # R[m],  Z[m]
  0.4178817E+00  0.0000000E+00
  0.4164898E+00  0.1641685E-01
  0.4127405E+00  0.3263333E-01
  0.4063569E+00  0.4837628E-01
  0.3972781E+00  0.6332141E-01
  0.3852080E+00  0.7670307E-01
  0.3702925E+00  0.8772236E-01
  0.3529633E+00  0.9555301E-01
  0.3339567E+00  0.9922500E-01
  0.3144672E+00  0.9798045E-01
  0.2958127E+00  0.9208769E-01
  0.2792052E+00  0.8194133E-01
  0.2652259E+00  0.6873078E-01
  0.2542603E+00  0.5325141E-01
  0.2466501E+00  0.3616358E-01
  0.2421552E+00  0.1826045E-01
  0.2405817E+00  0.1143514E-16
  0.2421552E+00 -0.1826045E-01
  0.2466501E+00 -0.3616358E-01
  0.2542603E+00 -0.5325141E-01
  0.2652259E+00 -0.6873078E-01
  0.2792052E+00 -0.8194133E-01
  0.2958127E+00 -0.9208769E-01
  0.3144672E+00 -0.9798045E-01
  0.3339567E+00 -0.9922500E-01
  0.3529633E+00 -0.9555301E-01
  0.3702925E+00 -0.8772236E-01
  0.3852080E+00 -0.7670307E-01
  0.3972781E+00 -0.6332141E-01
  0.4063569E+00 -0.4837628E-01
  0.4127405E+00 -0.3263333E-01
  0.4164898E+00 -0.1641685E-01
