# -------------------------------------------------------------------------
#     2020  2/18   1:23
# -------------------------------------------------------------------------
# frame length of x-direction[m]: 0.500
# frame length of z-direction(/2, if isym=0)[m]: 0.200
# minimum of x[m]: 0.200
# isym=1 if updown symmtric, 0 otherwise:  0
# plasma current "Ip"[MA]: 0.360E-02
# position of mgnetic axis [m]: (  0.3339567E+00,  0.0000000E+00)
# position of x-point [m]: (  0.2567824E-08, -0.8008714E+27)
# ellipticity "kappa":  1.12
# triangularity "delta":-0.533E-01
# safety factor at magnetic axis "q0":  1.10
# poloidal flux at magnetic axis "psi0": -0.3989319E-03
# poloidal flux at LCFS "psi_LCFS": -0.1866115E-03
# internal inductance "li":  1.13
# poloidal beta "beta_p":  0.00
# -------------------------------------------------------------------------
#mesh   50  49
#datatype  1
#width  1 2
#data
  0.2000000E+00 -0.2000000E+00 -0.3803864E-04
  0.2000000E+00 -0.1916667E+00 -0.4104836E-04
  0.2000000E+00 -0.1833333E+00 -0.4419383E-04
  0.2000000E+00 -0.1750000E+00 -0.4747420E-04
  0.2000000E+00 -0.1666667E+00 -0.5088707E-04
  0.2000000E+00 -0.1583333E+00 -0.5442816E-04
  0.2000000E+00 -0.1500000E+00 -0.5809088E-04
  0.2000000E+00 -0.1416667E+00 -0.6186592E-04
  0.2000000E+00 -0.1333333E+00 -0.6574076E-04
  0.2000000E+00 -0.1250000E+00 -0.6969907E-04
  0.2000000E+00 -0.1166667E+00 -0.7372026E-04
  0.2000000E+00 -0.1083333E+00 -0.7777884E-04
  0.2000000E+00 -0.1000000E+00 -0.8184398E-04
  0.2000000E+00 -0.9166667E-01 -0.8587914E-04
  0.2000000E+00 -0.8333333E-01 -0.8984186E-04
  0.2000000E+00 -0.7500000E-01 -0.9368394E-04
  0.2000000E+00 -0.6666667E-01 -0.9735191E-04
  0.2000000E+00 -0.5833333E-01 -0.1007881E-03
  0.2000000E+00 -0.5000000E-01 -0.1039321E-03
  0.2000000E+00 -0.4166667E-01 -0.1067232E-03
  0.2000000E+00 -0.3333333E-01 -0.1091024E-03
  0.2000000E+00 -0.2500000E-01 -0.1110161E-03
  0.2000000E+00 -0.1666667E-01 -0.1124185E-03
  0.2000000E+00 -0.8333333E-02 -0.1132746E-03
  0.2000000E+00  0.0000000E+00 -0.1135624E-03
  0.2000000E+00  0.8333333E-02 -0.1132746E-03
  0.2000000E+00  0.1666667E-01 -0.1124185E-03
  0.2000000E+00  0.2500000E-01 -0.1110161E-03
  0.2000000E+00  0.3333333E-01 -0.1091024E-03
  0.2000000E+00  0.4166667E-01 -0.1067232E-03
  0.2000000E+00  0.5000000E-01 -0.1039321E-03
  0.2000000E+00  0.5833333E-01 -0.1007881E-03
  0.2000000E+00  0.6666667E-01 -0.9735191E-04
  0.2000000E+00  0.7500000E-01 -0.9368394E-04
  0.2000000E+00  0.8333333E-01 -0.8984186E-04
  0.2000000E+00  0.9166667E-01 -0.8587914E-04
  0.2000000E+00  0.1000000E+00 -0.8184398E-04
  0.2000000E+00  0.1083333E+00 -0.7777884E-04
  0.2000000E+00  0.1166667E+00 -0.7372026E-04
  0.2000000E+00  0.1250000E+00 -0.6969907E-04
  0.2000000E+00  0.1333333E+00 -0.6574076E-04
  0.2000000E+00  0.1416667E+00 -0.6186592E-04
  0.2000000E+00  0.1500000E+00 -0.5809088E-04
  0.2000000E+00  0.1583333E+00 -0.5442816E-04
  0.2000000E+00  0.1666667E+00 -0.5088707E-04
  0.2000000E+00  0.1750000E+00 -0.4747420E-04
  0.2000000E+00  0.1833333E+00 -0.4419383E-04
  0.2000000E+00  0.1916667E+00 -0.4104836E-04
  0.2000000E+00  0.2000000E+00 -0.3803864E-04

  0.2061224E+00 -0.2000000E+00 -0.3989168E-04
  0.2061224E+00 -0.1916667E+00 -0.4310243E-04
  0.2061224E+00 -0.1833333E+00 -0.4646397E-04
  0.2061224E+00 -0.1750000E+00 -0.4997636E-04
  0.2061224E+00 -0.1666667E+00 -0.5363813E-04
  0.2061224E+00 -0.1583333E+00 -0.5744587E-04
  0.2061224E+00 -0.1500000E+00 -0.6139380E-04
  0.2061224E+00 -0.1416667E+00 -0.6547324E-04
  0.2061224E+00 -0.1333333E+00 -0.6967206E-04
  0.2061224E+00 -0.1250000E+00 -0.7397401E-04
  0.2061224E+00 -0.1166667E+00 -0.7835807E-04
  0.2061224E+00 -0.1083333E+00 -0.8279770E-04
  0.2061224E+00 -0.1000000E+00 -0.8726021E-04
  0.2061224E+00 -0.9166667E-01 -0.9170617E-04
  0.2061224E+00 -0.8333333E-01 -0.9608906E-04
  0.2061224E+00 -0.7500000E-01 -0.1003552E-03
  0.2061224E+00 -0.6666667E-01 -0.1044441E-03
  0.2061224E+00 -0.5833333E-01 -0.1082896E-03
  0.2061224E+00 -0.5000000E-01 -0.1118215E-03
  0.2061224E+00 -0.4166667E-01 -0.1149680E-03
  0.2061224E+00 -0.3333333E-01 -0.1176589E-03
  0.2061224E+00 -0.2500000E-01 -0.1198293E-03
  0.2061224E+00 -0.1666667E-01 -0.1214233E-03
  0.2061224E+00 -0.8333333E-02 -0.1223979E-03
  0.2061224E+00  0.0000000E+00 -0.1227259E-03
  0.2061224E+00  0.8333333E-02 -0.1223979E-03
  0.2061224E+00  0.1666667E-01 -0.1214233E-03
  0.2061224E+00  0.2500000E-01 -0.1198293E-03
  0.2061224E+00  0.3333333E-01 -0.1176589E-03
  0.2061224E+00  0.4166667E-01 -0.1149680E-03
  0.2061224E+00  0.5000000E-01 -0.1118215E-03
