 # LSFC polygon vetices
 # R[m],  Z[m]
  0.4118362E+00  0.3321145E-16
  0.4111625E+00  0.1597790E-01
  0.4085806E+00  0.3220281E-01
  0.4039847E+00  0.4887629E-01
  0.3970214E+00  0.6618519E-01
  0.3870877E+00  0.8418630E-01
  0.3733714E+00  0.1026892E+00
  0.3547591E+00  0.1202688E+00
  0.3308362E+00  0.1334250E+00
  0.3046307E+00  0.1317440E+00
  0.2833069E+00  0.1147458E+00
  0.2678345E+00  0.9428865E-01
  0.2570142E+00  0.7382195E-01
  0.2494561E+00  0.5437644E-01
  0.2445689E+00  0.3573307E-01
  0.2416828E+00  0.1773371E-01
  0.2408362E+00  0.4423327E-16
  0.2416828E+00 -0.1773371E-01
  0.2445689E+00 -0.3573307E-01
  0.2494561E+00 -0.5437644E-01
  0.2570142E+00 -0.7382195E-01
  0.2678345E+00 -0.9428865E-01
  0.2833069E+00 -0.1147458E+00
  0.3046307E+00 -0.1317440E+00
  0.3308362E+00 -0.1334250E+00
  0.3547591E+00 -0.1202688E+00
  0.3733714E+00 -0.1026892E+00
  0.3870877E+00 -0.8418630E-01
  0.3970214E+00 -0.6618519E-01
  0.4039847E+00 -0.4887629E-01
  0.4085806E+00 -0.3220281E-01
  0.4111625E+00 -0.1597790E-01
