 # poloidal flux, toroidal flux, q profile
  -2.9750968229978964E-003   0.0000000000000000        1.2423224222890992
  -2.9196727943890575E-003   5.8427339830856070E-005   1.2423224222890992
  -2.8642487657802190E-003   1.2424735291493693E-004   1.2423224222890992
  -2.8088247371713801E-003   1.9310186638929003E-004   1.2913081503553954
  -2.7534007085625411E-003   2.6467136625741433E-004   1.3363703733798833
  -2.6979766799537022E-003   3.3873839606362574E-004   1.4061446927692711
  -2.6425526513448637E-003   4.1667259974383623E-004   1.4621729909329348
  -2.5871286227360248E-003   4.9771211742437478E-004   1.5370960059305718
  -2.5317045941271859E-003   5.8290417043160283E-004   1.6096701285808426
  -2.4762805655183474E-003   6.7211857368886018E-004   1.6913079815713177
  -2.4208565369095085E-003   7.6585767564582650E-004   1.7848543864296611
  -2.3654325083006696E-003   8.6478149622191568E-004   1.8793757911430806
  -2.3100084796918306E-003   9.6894407383698905E-004   1.9911571997778872
  -2.2545844510829922E-003   1.0793020274421734E-003   2.1126389637888554
  -2.1991604224741532E-003   1.1963929898113547E-003   2.2460435681289805
  -2.1437363938653147E-003   1.3208777727880330E-003   2.3970230402902466
  -2.0883123652564758E-003   1.4537304463491257E-003   2.5716082555006974
  -2.0328883366476373E-003   1.5962593358727216E-003   2.7590679170043000
  -1.9774643080387984E-003   1.7491779950384975E-003   2.9896051602888565
  -1.9220402794299595E-003   1.9148739569714796E-003   3.2419825882835918
  -1.8666162508211206E-003   2.0945576926938670E-003   3.5598483727386268
  -1.8111922222122821E-003   2.2918588307476598E-003   3.9292672261602757
  -1.7557681936034432E-003   2.5096346499021401E-003   4.3872768496108590
  -1.7003441649946047E-003   2.7527952075298671E-003   4.9968415313505057
  -1.6449201363857658E-003   3.0297402955172721E-003   5.8813760775000850
  -1.5894961077769268E-003   3.3557098514959776E-003   0.0000000000000000
