 # psi,   q values
 -0.4735014E-03  0.1054188E+01
 -0.4646804E-03  0.1187572E+01
 -0.4558593E-03  0.1242322E+01
 -0.4470383E-03  0.1291308E+01
 -0.4382173E-03  0.1336370E+01
 -0.4293963E-03  0.1406145E+01
 -0.4205753E-03  0.1462173E+01
 -0.4117543E-03  0.1537096E+01
 -0.4029333E-03  0.1609670E+01
 -0.3941123E-03  0.1691308E+01
 -0.3852913E-03  0.1784854E+01
 -0.3764703E-03  0.1879376E+01
 -0.3676493E-03  0.1991157E+01
 -0.3588283E-03  0.2112639E+01
 -0.3500073E-03  0.2246044E+01
 -0.3411862E-03  0.2397023E+01
 -0.3323652E-03  0.2571608E+01
 -0.3235442E-03  0.2759068E+01
 -0.3147232E-03  0.2989605E+01
 -0.3059022E-03  0.3241983E+01
 -0.2970812E-03  0.3559848E+01
 -0.2882602E-03  0.3929267E+01
 -0.2794392E-03  0.4387277E+01
 -0.2706182E-03  0.4996842E+01
 -0.2617972E-03  0.5881376E+01
